country,city,place_name,category,incident_date,status,summary,details,source_label,source_url,recommendation,duplicate_check
Italy,Naples,Restaurant owned by Nives Monda,Restaurant,,needs_verification,Israeli couple reported being expelled from a restaurant; the owner disputed the characterization.,Use careful wording because public accounts conflict. Add exact venue name and primary source before approval.,Media coverage,,Review before publishing,Not found in repository static data
Spain,Unknown,Iberia flight / kosher meal service,Airport Service,,needs_verification,A kosher meal label reportedly contained a political message targeting an Israeli passenger.,Confirm flight date route and original evidence before publication.,Media coverage,,Review before publishing,Not found in repository static data
Greece,Athens,King David Burger,Restaurant,,needs_verification,A Jewish or Israeli-linked restaurant was reportedly vandalized.,Confirm date exact address and primary source.,Media coverage,,Review before publishing,Not found in repository static data
Greece,Athens,Beach area,Harassment / Atmosphere,,needs_verification,Israeli visitors were reportedly assaulted at or near a beach.,Confirm location date and police or media source.,Media coverage,,Review before publishing,Not found in repository static data
Greece,Rhodes,Hotel / nightlife area,Harassment / Atmosphere,,needs_verification,Israeli teenagers were reportedly followed toward their hotel and assaulted.,Treat as traveler-safety incident near tourism accommodation rather than direct hotel discrimination.,Media coverage,,Review before publishing,Not found in repository static data
Greece,Syros,Cruise port,Tourism Service,,needs_verification,Israeli cruise passengers were reportedly prevented from disembarking because of protests.,Confirm cruise operator date and port authority or media source.,Media coverage,,Review before publishing,Not found in repository static data
Norway,Geiranger,Hotel Lunheim,Hotel,,needs_verification,An Israeli or Jewish guest reported discriminatory treatment at a hotel.,Confirm exact allegation date and response from the property.,Media coverage,,Review before publishing,Not found in repository static data
Australia,Melbourne,Europcar,Car Rental,,needs_verification,An Israeli customer reportedly experienced discriminatory treatment during a rental interaction.,Confirm branch date written evidence and company response.,Media coverage,,Review before publishing,Not found in repository static data
Finland,Unknown,Eclipse Grillbar,Restaurant,,needs_verification,An Israeli or Jewish customer reportedly experienced discriminatory or hostile treatment.,Confirm city date and primary source.,Media coverage,,Review before publishing,Not found in repository static data
Finland,Helsinki,Hotel Kämp,Hotel,,needs_verification,An Israeli or Jewish guest reportedly experienced discriminatory treatment.,Confirm exact event date evidence and hotel response.,Media coverage,,Review before publishing,Not found in repository static data
